"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Alice's Restaurant,37.38658,-122.26546,17288 Skyline Blvd,94062,4.0,1113,$$,Diners,Q4tOrahHwvFOgChzBsm5yw
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Skywood Trading Post,37.3866608145007,-122.264267672538,17287 Skyline Blvd,94062,4.5,52,$$,Grocery,fOArbJaDQevAHzENEpUq_A
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,BayAreaTacoCatering,37.5117858227472,-122.292540979695,,94002,5.0,24,$,Tacos,ojUAPwlCiu_4vm_Z0ZqiYQ
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Whisk on Wheels,37.48853,-122.22662,,94063,4.0,119,$$,Caterers,X1NgPMMREoTTDAZPe6D-kA
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,The Everest Momo,37.54643,-121.98512,39233 Fremont Blvd,94538,4.5,16,,Food Trucks,DC42MrpWtqEeWRmMsn6Z8w
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Noon O Kabob,37.3940232,-122.0288052,,95101,4.5,25,$$,Food Trucks,8SNGFcMWZkvS4GWDUL8w1Q
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Taco Coma,37.53453,-122.03284,,94560,5.0,3,,Food Stands,lgheXsHqe66AEZwoPDIEpw
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Pita & Salt,37.3400871,-121.987255,,95051,4.5,73,$,Mediterranean,y7jjHpDrYUI7YGpE8e31-g
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Madd Mex Cantina Food Truck,37.5521392822266,-122.260833740234,,94404,4.5,222,$,Food Trucks,Is1KN9f5THyPgo1RjAxRzg
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Holy Cannoli,37.337298,-121.88759,138 E Santa Clara St,95113,4.5,58,$,Cafes,0x_iVQeDq7YVMjNGUNuloA
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Lomo Libre,37.799634,-122.436301,2101 Lombard St,94123,5.0,8,,Food Trucks,rM6pPB_qmQ3de5yGpfLT1g
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Paddy Wagon Sliders,37.3382082,-121.8863286,,95112,4.0,225,$,Food Trucks,_Y526-jjGzk_fjXBj1EePA
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Damian's Tacos & Hotdogs,37.3549620850075,-121.851418079178,1925 Alumrock Ave,95116,4.5,8,$,Food Trucks,MutHfYUQnieaBuycuNXEPA
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Yoshi Food Truck,37.4935291,-121.9421622,45500 Fremont Blvd,94538,4.5,26,,Food Trucks,or6vgjw2EFtsWUW_F_eW3A
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Minnie Bells,37.7769775466477,-122.416963241994,,94103,4.5,15,,Soul Food,PxzM_zNIOy7jdtwT-fbB0w
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Lady & L'Aperitivo,37.2208938598633,-121.861633300781,,95120,5.0,1,,Bakeries,C9uewBH5505NV0EWYBIJAA
"37.363733, -122.29470800000001",37.363733,-122.29470800000001,Kolobok Russian Soul Food Truck,37.7883087690458,-122.309032460882,,94577,4.5,45,$$,Food Trucks,jCcAuXhCpeJP2n-8ol7mxg
